N,P,X,Cmap,Parents,Children
74,0.0,5,179416,86912,88680
75,0.0,1,215464,106512,108304
75,0.0,2,145472,65888,67680
75,0.0,3,185520,102800,104592
75,0.0,4,132328,66792,68584
75,0.0,5,127592,67848,69640
76,0.0,1,131928,67704,69520
76,0.0,2,115248,60880,62696
76,0.0,3,147136,71112,72928
76,0.0,4,148296,76600,78416
76,0.0,5,193544,85944,87760
77,0.0,1,136880,67104,68944
77,0.0,2,172960,79448,81288
77,0.0,3,133184,72176,74016
77,0.0,4,146704,70544,72384
77,0.0,5,218656,89664,91504
78,0.0,1,133528,64472,66336
78,0.0,2,110064,56472,58336
78,0.0,3,140504,63872,65736
78,0.0,4,184896,89040,90904
78,0.0,5,144712,71864,73728
79,0.0,1,123136,68264,70152
79,0.0,2,134504,70536,72424
79,0.0,3,150528,79816,81704
79,0.0,4,122072,53680,55568
79,0.0,5,193600,78520,80408
80,0.0,1,127728,73728,75640
80,0.0,2,132624,61208,63120
80,0.0,3,169624,75152,77064
80,0.0,4,124936,63224,65136
80,0.0,5,215848,91608,93520
81,0.0,1,151832,86656,88592
81,0.0,2,213624,96768,98704
81,0.0,3,174152,88192,90128
81,0.0,4,162104,71112,73048
81,0.0,5,213664,84808,86744
82,0.0,1,175840,93544,95504
82,0.0,2,159504,79400,81360
82,0.0,3,147312,68096,70056
82,0.0,4,169968,77240,79200
82,0.0,5,254760,105136,107096
83,0.0,1,164280,72144,74128
83,0.0,2,145096,62104,64072
83,0.0,3,197360,93496,95480
83,0.0,4,142152,61816,63800
83,0.0,5,159120,70080,72064
84,0.0,1,186496,83904,85912
84,0.0,2,231456,109536,111544
84,0.0,3,177856,72992,75000
84,0.0,4,184096,98248,100256
84,0.0,5,133088,74960,76968
85,0.0,1,133048,68480,70512
85,0.0,2,194424,78488,80520
85,0.0,3,215512,97768,99800
85,0.0,4,110680,40008,42040
85,0.0,5,164920,92792,94824
86,0.0,1,207560,91280,93336
86,0.0,2,186576,96824,98880
86,0.0,3,161568,83656,85712
86,0.0,4,165832,69000,71056
86,0.0,5,180232,81848,83904
87,0.0,1,253288,98328,100408
87,0.0,2,181688,91080,93160
87,0.0,3,189792,81896,83976
87,0.0,4,190832,90256,92336
87,0.0,5,135000,65872,67952
88,0.0,1,148600,67328,69432
88,0.0,2,210432,85224,87328
88,0.0,3,170768,82544,84648
88,0.0,4,218688,104160,106264
88,0.0,5,210032,91024,93128
89,0.0,1,241568,90824,92952
89,0.0,2,209216,88944,91072
89,0.0,3,168728,71560,73688
89,0.0,4,169440,76232,78360
89,0.0,5,261960,121672,123800
90,0.0,1,197704,85720,87872
90,0.0,2,190072,74328,76480
90,0.0,3,243480,103072,105224
90,0.0,4,214120,92752,94904
90,0.0,5,151160,91760,93912
91,0.0,1,182688,86824,89000
91,0.0,2,190952,78528,80704
91,0.0,3,193856,74056,76232
91,0.0,4,239656,105920,108096
91,0.0,5,169632,96528,98704
92,0.0,1,147456,82792,84992
92,0.0,2,188688,75944,78144
92,0.0,3,161352,83120,85320
92,0.0,4,200576,95096,97296
92,0.0,5,175992,89888,92088
93,0.0,1,239632,106392,108616
93,0.0,2,229312,86288,88512
93,0.0,3,151096,61336,63560
93,0.0,4,197000,93184,95408
93,0.0,5,143824,76584,78808
94,0.0,1,157864,69352,71600
94,0.0,2,195512,83496,85744
94,0.0,3,180080,86416,88664
94,0.0,4,210040,99120,101368
94,0.0,5,212232,102648,104896
95,0.0,1,175272,67264,69536
95,0.0,2,231008,97544,99816
95,0.0,3,194664,85296,87568
95,0.0,4,162504,70696,72968
95,0.0,5,190248,93560,95832
96,0.0,1,224400,92184,94480
96,0.0,2,191960,110488,112784
96,0.0,3,223736,83856,86152
96,0.0,4,268208,124240,126536
96,0.0,5,266160,94648,96944
97,0.0,1,165816,86448,88768
97,0.0,2,193440,80856,83176
97,0.0,3,206272,96520,98840
97,0.0,4,248336,113864,116184
97,0.0,5,188888,85712,88032
98,0.0,1,247664,90512,92856
98,0.0,2,243312,108880,111224
98,0.0,3,257224,99224,101568
98,0.0,4,225480,93096,95440
98,0.0,5,163656,76160,78504
99,0.0,1,169424,74720,77088
99,0.0,2,247840,92016,94384
99,0.0,3,202232,77216,79584
99,0.0,4,248456,99296,101664
99,0.0,5,168016,82312,84680
100,0.0,1,192896,96472,98864
100,0.0,2,317128,121800,124192
100,0.0,3,243320,79960,82352
100,0.0,4,226032,83768,86160
100,0.0,5,264960,109936,112328
1,0.1,1,3944,16,16
1,0.1,2,3944,16,16
1,0.1,3,3992,16,16
1,0.1,4,3960,16,16
1,0.1,5,3992,16,16
2,0.1,1,4288,424,448
2,0.1,2,4328,432,456
2,0.1,3,4280,216,240
2,0.1,4,4288,6016,6056
2,0.1,5,4264,2104,2144
3,0.1,1,6336,4880,4944
3,0.1,2,6776,5544,5592
3,0.1,3,4592,1720,1768
3,0.1,4,5720,5104,5152
3,0.1,5,4464,864,912
4,0.1,1,4928,1536,1608
4,0.1,2,6200,3728,3816
4,0.1,3,4856,1528,1616
4,0.1,4,5712,3480,3552
4,0.1,5,5008,1456,1528
5,0.1,1,8016,6768,6880
5,0.1,2,5616,1928,2024
5,0.1,3,5288,5616,5696
5,0.1,4,7336,4880,4976
5,0.1,5,5200,1416,1496
6,0.1,1,5896,3000,3120
6,0.1,2,6568,3752,3872
6,0.1,3,7576,7856,7960
6,0.1,4,6096,4616,4736
6,0.1,5,5528,4064,4184
7,0.1,1,5888,2192,2336
7,0.1,2,6176,2248,2392
7,0.1,3,9144,8248,8408
7,0.1,4,5896,2360,2504
7,0.1,5,5896,2360,2504
8,0.1,1,5960,3144,3312
8,0.1,2,6328,2472,2640
8,0.1,3,6464,3640,3808
8,0.1,4,6200,2504,2672
8,0.1,5,10552,9408,9560
9,0.1,1,11512,10824,11016
9,0.1,2,15320,18704,18912
9,0.1,3,10904,11552,11760
9,0.1,4,7320,4624,4816
9,0.1,5,7800,5576,5768
10,0.1,1,9624,7048,7280
10,0.1,2,13504,12784,13000
10,0.1,3,7056,4784,5000
10,0.1,4,8408,5656,5872
10,0.1,5,8336,8664,8880
11,0.1,1,7544,4288,4528
11,0.1,2,9048,5904,6160
11,0.1,3,12264,10184,10408
11,0.1,4,14632,17072,17328
11,0.1,5,9640,7784,8024
12,0.1,1,11088,9432,9696
12,0.1,2,7792,4208,4472
12,0.1,3,10920,13840,14120
12,0.1,4,7824,4504,4784
12,0.1,5,13704,11184,11464
13,0.1,1,8144,4768,5056
13,0.1,2,10832,11904,12192
13,0.1,3,8504,5376,5664
13,0.1,4,16824,18488,18776
13,0.1,5,12608,10368,10640
14,0.1,1,11008,9400,9696
14,0.1,2,12136,13664,13992
14,0.1,3,11176,13048,13376
14,0.1,4,8552,7272,7584
14,0.1,5,10288,8624,8952
15,0.1,1,14904,17000,17336
15,0.1,2,8992,6312,6648
15,0.1,3,20088,19032,19384
15,0.1,4,12640,13472,13792
15,0.1,5,9736,6752,7088
16,0.1,1,17856,13520,13880
16,0.1,2,18136,14304,14664
16,0.1,3,11240,12376,12752
16,0.1,4,16648,19504,19864
16,0.1,5,17192,16200,16560
17,0.1,1,15992,15864,16264
17,0.1,2,15904,17272,17656
17,0.1,3,10352,8256,8656
17,0.1,4,19664,23312,23712
17,0.1,5,15120,15920,16304
18,0.1,1,9896,7088,7512
18,0.1,2,16280,11320,11728
18,0.1,3,19624,19160,19584
18,0.1,4,11208,10400,10824
18,0.1,5,13448,12656,13080
19,0.1,1,18616,21864,22312
19,0.1,2,17640,15024,15472
19,0.1,3,15672,10840,11272
19,0.1,4,22248,22104,22536
19,0.1,5,12416,8504,8952
20,0.1,1,17912,11448,11920
20,0.1,2,26552,27320,27792
20,0.1,3,19992,15384,15856
20,0.1,4,22912,23824,24296
20,0.1,5,14512,15528,16000
21,0.1,1,23456,22704,23200
21,0.1,2,25272,20160,20656
21,0.1,3,20512,16624,17120
21,0.1,4,12032,10504,10984
21,0.1,5,14960,13608,14088
22,0.1,1,35328,30672,31192
22,0.1,2,14216,13312,13832
22,0.1,3,20400,26944,27448
22,0.1,4,18112,16800,17304
22,0.1,5,27552,21640,22160
23,0.1,1,25984,34512,35056
23,0.1,2,17016,16592,17120
23,0.1,3,34352,31584,32128
23,0.1,4,25960,18416,18944
23,0.1,5,18888,18600,19144
24,0.1,1,20920,28928,29496
24,0.1,2,20640,15992,16560
24,0.1,3,32680,28232,28800
24,0.1,4,32848,33112,33680
24,0.1,5,23800,23840,24408
25,0.1,1,20344,14648,15240
25,0.1,2,26872,27208,27800
25,0.1,3,23856,17512,18104
25,0.1,4,23096,21792,22384
25,0.1,5,23112,17832,18408
26,0.1,1,25848,26144,26760
26,0.1,2,28824,29600,30216
26,0.1,3,23616,24880,25496
26,0.1,4,31392,27680,28296
26,0.1,5,23624,16064,16680
27,0.1,1,27240,20048,20688
27,0.1,2,30096,25592,26232
27,0.1,3,30576,20808,21448
27,0.1,4,20640,20336,20960
27,0.1,5,35520,25328,25968
28,0.1,1,45800,34696,35360
28,0.1,2,50960,36136,36784
28,0.1,3,41704,38424,39088
28,0.1,4,20568,19824,20488
28,0.1,5,19040,22824,23488
29,0.1,1,31952,24792,25464
29,0.1,2,24608,19408,20096
29,0.1,3,41720,26136,26824
29,0.1,4,39440,28328,29016
29,0.1,5,37696,35096,35784
30,0.1,1,27952,22488,23184
30,0.1,2,32816,32952,33664
30,0.1,3,42336,31720,32432
30,0.1,4,24912,23344,24040
30,0.1,5,29888,23384,24096
31,0.1,1,28776,27376,28112
31,0.1,2,40416,34344,35080
31,0.1,3,50928,43008,43744
31,0.1,4,40240,29784,30520
31,0.1,5,27648,19800,20536
32,0.1,1,23952,17072,17816
32,0.1,2,33936,33472,34232
32,0.1,3,24024,19328,20088
32,0.1,4,27256,21584,22328
32,0.1,5,31712,26912,27672
33,0.1,1,44416,37624,38408
33,0.1,2,47504,33352,34136
33,0.1,3,35056,32136,32920
33,0.1,4,43632,32048,32832
33,0.1,5,58496,54912,55696
34,0.1,1,39752,28176,28984
34,0.1,2,36840,33192,33984
34,0.1,3,31768,38072,38880
34,0.1,4,50008,37264,38056
34,0.1,5,37728,29240,30048
35,0.1,1,36680,32744,33576
35,0.1,2,44088,38920,39736
35,0.1,3,36056,32744,33576
35,0.1,4,23488,22408,23240
35,0.1,5,45088,43208,44040
36,0.1,1,44224,36704,37560
36,0.1,2,44280,45528,46384
36,0.1,3,46504,41448,42304
36,0.1,4,49512,31728,32584
36,0.1,5,37776,28152,29008
37,0.1,1,39992,34920,35800
37,0.1,2,35976,36872,37752
37,0.1,3,50616,32296,33176
37,0.1,4,34880,25528,26408
37,0.1,5,44328,27736,28600
38,0.1,1,46112,28200,29088
38,0.1,2,46848,43336,44240
38,0.1,3,50984,48032,48936
38,0.1,4,39928,36216,37120
38,0.1,5,53936,39056,39960
39,0.1,1,55776,40720,41648
39,0.1,2,82576,55480,56408
39,0.1,3,63416,53032,53960
39,0.1,4,39760,31208,32120
39,0.1,5,72512,42968,43880
40,0.1,1,57960,39424,40376
40,0.1,2,47128,44864,45816
40,0.1,3,56280,43296,44232
40,0.1,4,56912,45976,46928
40,0.1,5,59928,41088,42040
41,0.1,1,45320,36280,37256
41,0.1,2,56512,36488,37464
41,0.1,3,44544,57776,58752
41,0.1,4,46448,42384,43360
41,0.1,5,67064,47928,48904
42,0.1,1,55688,48520,49520
42,0.1,2,60840,32536,33536
42,0.1,3,44872,33632,34632
42,0.1,4,49920,37592,38592
42,0.1,5,63144,40544,41528
43,0.1,1,62872,35464,36488
43,0.1,2,45392,37848,38872
43,0.1,3,50328,38152,39176
43,0.1,4,33352,32448,33456
43,0.1,5,43384,41552,42576
44,0.1,1,52752,41472,42520
44,0.1,2,54912,43448,44496
44,0.1,3,76736,47456,48504
44,0.1,4,72160,46912,47960
44,0.1,5,62648,42080,43128
45,0.1,1,45360,26224,27296
45,0.1,2,34992,20912,21984
45,0.1,3,54880,35896,36968
45,0.1,4,37608,31096,32168
45,0.1,5,37560,21256,22312
46,0.1,1,46040,30368,31464
46,0.1,2,58656,43424,44520
46,0.1,3,66440,39496,40592
46,0.1,4,72480,54064,55160
46,0.1,5,86248,49712,50808
47,0.1,1,80296,51032,52152
47,0.1,2,84528,54136,55256
47,0.1,3,48872,33600,34720
47,0.1,4,85616,67008,68128
47,0.1,5,69848,43792,44912
48,0.1,1,114088,64920,66064
48,0.1,2,69864,51008,52152
48,0.1,3,66608,54000,55144
48,0.1,4,46320,35976,37120
48,0.1,5,58792,40272,41416
49,0.1,1,89536,55288,56456
49,0.1,2,73696,56072,57240
49,0.1,3,72368,46712,47880
49,0.1,4,66528,42232,43400
49,0.1,5,57040,44352,45520
