N,P,X,History
77,0.0,4,197608
77,0.0,5,279432
78,0.0,1,178560
78,0.0,2,148512
78,0.0,3,184568
78,0.0,4,247656
78,0.0,5,194520
79,0.0,1,170224
79,0.0,2,184448
79,0.0,3,207296
79,0.0,4,159000
79,0.0,5,245928
80,0.0,1,180464
80,0.0,2,174568
80,0.0,3,219416
80,0.0,4,170456
80,0.0,5,278864
81,0.0,1,216008
81,0.0,2,282824
81,0.0,3,236544
81,0.0,4,210600
81,0.0,5,273672
82,0.0,1,244768
82,0.0,2,215736
82,0.0,3,194912
82,0.0,4,221736
82,0.0,5,329928
83,0.0,1,214136
83,0.0,2,186696
83,0.0,3,262216
83,0.0,4,183480
83,0.0,5,207408
84,0.0,1,246200
84,0.0,2,310064
84,0.0,3,227312
84,0.0,4,255256
84,0.0,5,188360
85,0.0,1,182552
85,0.0,2,246696
85,0.0,3,283840
85,0.0,4,135048
85,0.0,5,231432
86,0.0,1,271424
86,0.0,2,255968
86,0.0,3,223720
86,0.0,4,211688
86,0.0,5,239616
87,0.0,1,324240
87,0.0,2,247056
87,0.0,3,245304
87,0.0,4,255376
87,0.0,5,180264
88,0.0,1,194392
88,0.0,2,268296
88,0.0,3,228896
88,0.0,4,294576
88,0.0,5,273800
89,0.0,1,303944
89,0.0,2,271200
89,0.0,3,218016
89,0.0,4,222144
89,0.0,5,349072
90,0.0,1,258112
90,0.0,2,241544
90,0.0,3,317752
90,0.0,4,280528
90,0.0,5,220696
91,0.0,1,242856
91,0.0,2,247792
91,0.0,3,242304
91,0.0,4,314360
91,0.0,5,242808
92,0.0,1,207016
92,0.0,2,240400
92,0.0,3,220304
92,0.0,4,270624
92,0.0,5,241656
93,0.0,1,315576
93,0.0,2,289008
93,0.0,3,193248
93,0.0,4,265640
93,0.0,5,198024
94,0.0,1,204360
94,0.0,2,255368
94,0.0,3,243552
94,0.0,4,279512
94,0.0,5,288336
95,0.0,1,221640
95,0.0,2,299752
95,0.0,3,254792
95,0.0,4,210648
95,0.0,5,259200
96,0.0,1,288376
96,0.0,2,276776
96,0.0,3,280920
96,0.0,4,361200
96,0.0,5,330248
97,0.0,1,228176
