N,P,X,Cmap,Parents,Children
48,0.0,1,72072,52056,53200
48,0.0,2,86512,62608,63752
48,0.0,3,55760,37008,38152
48,0.0,4,42152,33216,34360
48,0.0,5,93216,55592,56736
49,0.0,1,81152,53256,54424
49,0.0,2,76272,64352,65520
49,0.0,3,67984,40688,41856
49,0.0,4,74256,44904,46072
49,0.0,5,58672,37152,38320
50,0.0,1,91104,63488,64680
50,0.0,2,108016,66504,67696
50,0.0,3,63848,50680,51872
50,0.0,4,65912,45680,46872
50,0.0,5,81872,53760,54952
51,0.0,1,61504,42720,43936
51,0.0,2,66704,38344,39560
51,0.0,3,92160,50984,52200
51,0.0,4,87912,70224,71440
51,0.0,5,48952,43792,45008
52,0.0,1,58776,45040,46280
52,0.0,2,66568,44976,46216
52,0.0,3,75688,47544,48784
52,0.0,4,61184,54016,55256
52,0.0,5,77320,45616,46856
53,0.0,1,92984,53736,55000
53,0.0,2,74992,44456,45720
53,0.0,3,69888,45256,46520
53,0.0,4,102424,63152,64416
53,0.0,5,93464,70632,71896
54,0.0,1,91592,44960,46248
54,0.0,2,53792,31240,32528
54,0.0,3,72480,48424,49712
54,0.0,4,103456,48248,49536
54,0.0,5,72272,42168,43456
55,0.0,1,113720,60944,62256
55,0.0,2,58280,36624,37936
55,0.0,3,83688,44864,46176
55,0.0,4,114984,73984,75296
55,0.0,5,72736,48976,50288
56,0.0,1,62008,49112,50448
56,0.0,2,60032,42000,43336
56,0.0,3,90640,48192,49528
56,0.0,4,90560,56320,57656
56,0.0,5,86488,54624,55960
57,0.0,1,86712,46624,47984
57,0.0,2,97240,61904,63264
57,0.0,3,79720,46760,48120
57,0.0,4,102672,64328,65688
57,0.0,5,108176,60440,61800
58,0.0,1,110536,79872,81256
58,0.0,2,75000,47376,48760
58,0.0,3,66264,54160,55544
58,0.0,4,109992,60384,61768
58,0.0,5,77336,53096,54480
59,0.0,1,126512,60232,61640
59,0.0,2,81072,39976,41384
59,0.0,3,88904,50208,51616
59,0.0,4,69176,41520,42928
59,0.0,5,87936,57704,59112
60,0.0,1,116952,67608,69040
60,0.0,2,86072,52200,53616
60,0.0,3,95408,67648,69080
60,0.0,4,117384,66840,68272
60,0.0,5,80384,58592,60024
61,0.0,1,101360,55928,57384
61,0.0,2,148920,67576,69032
61,0.0,3,97888,61056,62512
61,0.0,4,117856,63760,65216
61,0.0,5,59328,36496,37952
62,0.0,1,107576,51064,52544
62,0.0,2,82208,46848,48328
62,0.0,3,103440,82680,84160
62,0.0,4,103592,49264,50744
62,0.0,5,111384,58568,60048
63,0.0,1,101960,44504,46008
63,0.0,2,118728,69336,70840
63,0.0,3,92336,61104,62608
63,0.0,4,87336,57760,59264
63,0.0,5,100440,49768,51272
64,0.0,1,137104,75952,77480
64,0.0,2,76992,48984,50512
