N,P,X,Filesize,Cachesize
68,0.1,3,28672,47160
68,0.1,4,28672,43248
68,0.1,5,28672,39152
69,0.1,1,32768,59120
69,0.1,2,32768,65080
69,0.1,3,28672,64272
69,0.1,4,32768,82272
69,0.1,5,32768,100928
70,0.1,1,28672,29104
70,0.1,2,28672,45120
70,0.1,3,32768,62976
70,0.1,4,32768,53984
70,0.1,5,28672,44024
71,0.1,1,32768,95680
71,0.1,2,32768,61648
71,0.1,3,28672,39000
71,0.1,4,32768,52800
71,0.1,5,28672,42632
72,0.1,1,32768,65256
72,0.1,2,32768,57592
72,0.1,3,32768,55968
72,0.1,4,32768,52112
72,0.1,5,32768,94184
73,0.1,1,32768,71824
73,0.1,2,32768,53616
73,0.1,3,32768,77832
73,0.1,4,32768,69328
73,0.1,5,32768,57160
74,0.1,1,32768,55296
74,0.1,2,32768,44496
74,0.1,3,32768,58848
74,0.1,4,32768,125352
74,0.1,5,28672,31424
75,0.1,1,32768,46424
75,0.1,2,28672,40848
75,0.1,3,32768,75184
75,0.1,4,28672,46504
75,0.1,5,32768,49016
76,0.1,1,32768,41496
76,0.1,2,28672,36120
76,0.1,3,36864,124016
76,0.1,4,32768,56192
76,0.1,5,32768,56760
77,0.1,1,32768,107720
77,0.1,2,36864,109544
77,0.1,3,32768,72488
77,0.1,4,32768,75728
77,0.1,5,32768,34328
78,0.1,1,36864,106368
78,0.1,2,32768,46512
78,0.1,3,32768,40000
78,0.1,4,32768,93960
78,0.1,5,32768,101496
79,0.1,1,32768,48000
79,0.1,2,28672,68376
79,0.1,3,32768,56424
79,0.1,4,32768,51288
79,0.1,5,32768,50672
80,0.1,1,32768,65416
80,0.1,2,32768,60320
80,0.1,3,32768,58728
80,0.1,4,32768,47544
80,0.1,5,36864,92400
81,0.1,1,36864,48696
81,0.1,2,32768,80952
81,0.1,3,32768,52552
81,0.1,4,36864,55568
81,0.1,5,32768,58888
82,0.1,1,36864,53952
82,0.1,2,32768,52200
82,0.1,3,36864,71624
82,0.1,4,32768,58904
82,0.1,5,32768,40696
83,0.1,1,32768,60624
83,0.1,2,32768,62736
83,0.1,3,36864,60368
83,0.1,4,32768,60512
83,0.1,5,36864,81640
84,0.1,1,32768,58320
84,0.1,2,36864,154952
84,0.1,3,32768,51960
84,0.1,4,32768,48304
84,0.1,5,32768,52704
85,0.1,1,32768,74424
85,0.1,2,32768,90864
85,0.1,3,32768,80648
85,0.1,4,32768,43488
85,0.1,5,36864,108456
86,0.1,1,32768,77184
86,0.1,2,36864,138832
86,0.1,3,36864,64464
86,0.1,4,36864,49400
86,0.1,5,36864,87928
87,0.1,1,32768,55536
87,0.1,2,36864,144160
87,0.1,3,36864,54224
87,0.1,4,36864,63440
87,0.1,5,36864,48056
88,0.1,1,36864,61368
88,0.1,2,36864,70256
88,0.1,3,32768,75584
88,0.1,4,36864,56464
88,0.1,5,32768,84904
89,0.1,1,32768,116728
89,0.1,2,36864,50176
89,0.1,3,40960,83504
89,0.1,4,32768,64088
89,0.1,5,36864,113520
90,0.1,1,36864,61080
90,0.1,2,36864,74056
90,0.1,3,36864,67208
90,0.1,4,36864,78480
90,0.1,5,40960,128928
91,0.1,1,40960,108792
91,0.1,2,36864,88648
91,0.1,3,40960,166504
91,0.1,4,32768,35880
91,0.1,5,36864,65376
92,0.1,1,36864,53200
92,0.1,2,36864,80576
92,0.1,3,36864,61464
92,0.1,4,36864,86592
92,0.1,5,40960,85960
93,0.1,1,36864,57632
93,0.1,2,40960,55752
93,0.1,3,40960,81736
93,0.1,4,36864,63560
93,0.1,5,36864,48056
94,0.1,1,40960,68176
94,0.1,2,36864,63216
94,0.1,3,36864,153928
94,0.1,4,36864,57928
94,0.1,5,40960,76592
95,0.1,1,36864,61000
95,0.1,2,40960,70520
95,0.1,3,40960,125920
95,0.1,4,36864,59648
95,0.1,5,36864,116400
96,0.1,1,36864,54216
96,0.1,2,40960,85152
96,0.1,3,40960,96496
96,0.1,4,40960,85264
96,0.1,5,40960,159456
97,0.1,1,40960,226680
97,0.1,2,40960,64768
97,0.1,3,36864,103208
97,0.1,4,40960,74008
97,0.1,5,40960,80544
98,0.1,1,36864,133552
98,0.1,2,36864,82608
98,0.1,3,36864,57056
98,0.1,4,40960,86832
98,0.1,5,36864,67312
99,0.1,1,36864,104248
99,0.1,2,40960,115992
99,0.1,3,40960,129504
99,0.1,4,36864,67720
99,0.1,5,40960,71608
100,0.1,1,36864,69888
100,0.1,2,40960,65648
