N,P,X,Cmap,Parents,Children
48,0.0,3,19176,37512,38656
48,0.0,4,19008,32552,33696
48,0.0,5,20160,32728,33872
49,0.0,1,16256,30592,31760
49,0.0,2,15736,29808,30976
49,0.0,3,14704,29240,30408
49,0.0,4,19880,37688,38856
49,0.0,5,14608,42192,43360
50,0.0,1,25336,43880,45072
50,0.0,2,23064,37352,38544
50,0.0,3,19208,35880,37072
50,0.0,4,13376,24856,26032
50,0.0,5,21240,30792,31984
51,0.0,1,27768,47712,48928
51,0.0,2,22512,36456,37672
51,0.0,3,13408,31848,33064
51,0.0,4,23160,34824,36040
51,0.0,5,19976,32768,33984
52,0.0,1,16848,35592,36832
52,0.0,2,20608,35832,37072
52,0.0,3,19344,36376,37616
52,0.0,4,26400,41216,42456
52,0.0,5,28352,40448,41688
53,0.0,1,23688,33944,35208
53,0.0,2,16176,36672,37936
53,0.0,3,12592,34064,35328
53,0.0,4,20648,35080,36344
53,0.0,5,19192,35000,36264
54,0.0,1,25832,38192,39480
54,0.0,2,18776,30008,31296
54,0.0,3,20104,39832,41120
54,0.0,4,20520,36192,37480
54,0.0,5,24048,40888,42176
55,0.0,1,19320,32592,33904
55,0.0,2,22040,39712,41024
55,0.0,3,22160,40288,41600
55,0.0,4,19808,45032,46344
55,0.0,5,22240,36160,37472
56,0.0,1,23600,44736,46072
56,0.0,2,23064,42512,43848
56,0.0,3,24344,39224,40560
56,0.0,4,19944,33216,34552
56,0.0,5,28192,40480,41816
57,0.0,1,22328,43032,44392
57,0.0,2,24688,43152,44512
57,0.0,3,24360,37864,39224
57,0.0,4,21360,35920,37280
57,0.0,5,23432,45344,46704
58,0.0,1,17880,34832,36216
58,0.0,2,25968,40416,41800
58,0.0,3,21920,38408,39792
58,0.0,4,23680,42728,44112
58,0.0,5,16960,34088,35472
59,0.0,1,20800,34768,36176
59,0.0,2,24568,41208,42616
59,0.0,3,22088,37536,38944
59,0.0,4,17160,37392,38800
59,0.0,5,17952,36960,38368
60,0.0,1,25296,40336,41768
60,0.0,2,23128,44592,46024
60,0.0,3,22048,35280,36712
60,0.0,4,26504,44488,45920
60,0.0,5,16040,41320,42752
61,0.0,1,24736,39232,40688
61,0.0,2,31032,46408,47864
61,0.0,3,24536,46008,47464
61,0.0,4,25456,46504,47960
61,0.0,5,19912,42064,43520
62,0.0,1,20840,44144,45624
62,0.0,2,19504,45912,47392
62,0.0,3,20344,39880,41360
62,0.0,4,23056,41944,43424
62,0.0,5,25152,47112,48592
63,0.0,1,31496,48432,49936
63,0.0,2,33208,54872,56376
63,0.0,3,31744,55176,56680
63,0.0,4,20784,40008,41512
63,0.0,5,25232,44888,46392
64,0.0,1,22216,42008,43536
64,0.0,2,18904,41024,42552
64,0.0,3,21280,46312,47840
64,0.0,4,25520,50072,51600
64,0.0,5,28592,46720,48248
65,0.0,1,34608,53808,55360
65,0.0,2,28072,50720,52272
65,0.0,3,18184,44880,46432
65,0.0,4,21600,41712,43264
65,0.0,5,25672,45232,46784
66,0.0,1,22464,43920,45496
66,0.0,2,26560,43136,44712
66,0.0,3,27824,44912,46488
66,0.0,4,28792,49824,51400
66,0.0,5,32288,56616,58192
67,0.0,1,26296,39984,41584
67,0.0,2,33352,53848,55448
67,0.0,3,29856,54296,55896
67,0.0,4,24784,39712,41312
67,0.0,5,32272,52232,53832
68,0.0,1,24376,43400,45024
68,0.0,2,28600,45304,46928
68,0.0,3,28096,48856,50480
68,0.0,4,28632,49656,51280
68,0.0,5,24176,50576,52200
69,0.0,1,26664,47496,49144
69,0.0,2,20288,44584,46232
69,0.0,3,33616,52480,54128
69,0.0,4,34464,50752,52400
69,0.0,5,23224,47848,49496
70,0.0,1,24264,49232,50904
70,0.0,2,23872,49072,50744
70,0.0,3,25192,52136,53808
70,0.0,4,30808,47352,49024
70,0.0,5,26832,48464,50136
71,0.0,1,33032,57832,59528
71,0.0,2,19120,44064,45760
71,0.0,3,31432,53312,55008
71,0.0,4,31032,49808,51504
71,0.0,5,28856,50968,52664
72,0.0,1,25128,46424,48144
72,0.0,2,27728,49568,51288
72,0.0,3,25832,45648,47368
72,0.0,4,30840,45032,46752
72,0.0,5,24096,45552,47272
73,0.0,1,26208,50016,51760
73,0.0,2,27608,57992,59736
73,0.0,3,24352,52048,53792
73,0.0,4,29568,47760,49504
73,0.0,5,35784,60760,62504
74,0.0,1,25072,56008,57776
74,0.0,2,25968,45488,47256
74,0.0,3,35064,47808,49576
74,0.0,4,39344,59032,60800
74,0.0,5,25608,51800,53568
75,0.0,1,32032,55600,57392
75,0.0,2,26912,55904,57696
75,0.0,3,25664,48344,50136
75,0.0,4,42000,63456,65248
75,0.0,5,32968,65120,66912
76,0.0,1,27072,42160,43976
76,0.0,2,23168,47264,49080
76,0.0,3,31864,53392,55208
76,0.0,4,31280,52576,54392
76,0.0,5,29408,47808,49624
77,0.0,1,24760,46584,48424
77,0.0,2,34368,53840,55680
77,0.0,3,30096,52600,54440
77,0.0,4,34824,64288,66128
77,0.0,5,27032,51216,53056
78,0.0,1,28840,53752,55616
78,0.0,2,39552,57848,59712
78,0.0,3,29928,55128,56992
78,0.0,4,28552,53704,55568
78,0.0,5,34544,59256,61120
79,0.0,1,32088,53776,55664
79,0.0,2,29568,55280,57168
79,0.0,3,30616,58616,60504
79,0.0,4,26488,44320,46208
79,0.0,5,33712,51848,53736
80,0.0,1,34576,57952,59864
80,0.0,2,32872,52752,54664
80,0.0,3,28256,51184,53096
80,0.0,4,41032,63456,65368
80,0.0,5,30728,51264,53176
81,0.0,1,35624,59488,61424
81,0.0,2,40408,58232,60168
81,0.0,3,33472,54224,56160
81,0.0,4,28824,59544,61480
81,0.0,5,29688,56000,57936
82,0.0,1,34568,59200,61160
82,0.0,2,34256,55176,57136
82,0.0,3,27472,54208,56168
82,0.0,4,29256,58520,60480
82,0.0,5,30512,54480,56440
83,0.0,1,28096,54592,56576
83,0.0,2,40816,59312,61296
83,0.0,3,38752,66120,68104
83,0.0,4,34256,58072,60056
83,0.0,5,27808,52512,54496
84,0.0,1,34232,55312,57320
84,0.0,2,33224,50480,52488
84,0.0,3,38720,61136,63144
84,0.0,4,28632,58232,60240
84,0.0,5,36744,60936,62944
85,0.0,1,41088,63080,65112
85,0.0,2,35856,55840,57872
85,0.0,3,39920,64968,67000
85,0.0,4,41840,62880,64912
85,0.0,5,27488,52112,54144
86,0.0,1,40592,61568,63624
86,0.0,2,35576,57224,59280
86,0.0,3,39432,51824,53880
86,0.0,4,40856,62680,64736
86,0.0,5,32936,62560,64616
87,0.0,1,32688,59560,61640
87,0.0,2,38360,59856,61936
87,0.0,3,30328,57608,59688
87,0.0,4,38448,71888,73968
87,0.0,5,32680,56472,58552
88,0.0,1,40296,67280,69384
88,0.0,2,29000,55488,57592
88,0.0,3,47392,72296,74400
88,0.0,4,31176,55504,57608
88,0.0,5,26488,56600,58704
89,0.0,1,32088,50552,52680
89,0.0,2,33096,61864,63992
89,0.0,3,39136,60368,62496
89,0.0,4,44424,64768,66896
89,0.0,5,33200,57696,59824
90,0.0,1,42672,65312,67464
90,0.0,2,36464,62464,64616
90,0.0,3,29616,62040,64192
90,0.0,4,34392,59344,61496
90,0.0,5,32368,59664,61816
91,0.0,1,43896,69328,71504
91,0.0,2,38432,66600,68776
91,0.0,3,35640,64576,66752
91,0.0,4,37912,60408,62584
91,0.0,5,43304,71776,73952
92,0.0,1,33288,57216,59416
92,0.0,2,35272,56168,58368
92,0.0,3,31944,63288,65488
92,0.0,4,39328,59016,61216
92,0.0,5,37576,62624,64824
93,0.0,1,37392,63328,65552
93,0.0,2,45208,68208,70432
93,0.0,3,36600,64336,66560
93,0.0,4,42304,60600,62824
93,0.0,5,34048,62968,65192
94,0.0,1,38360,64616,66864
94,0.0,2,35208,63640,65888
94,0.0,3,41696,70160,72408
94,0.0,4,46312,69368,71616
94,0.0,5,35984,59224,61472
95,0.0,1,34376,63440,65712
95,0.0,2,38136,58640,60912
95,0.0,3,36112,64232,66504
95,0.0,4,43968,74760,77032
95,0.0,5,35632,64768,67040
96,0.0,1,39696,73272,75568
96,0.0,2,40760,78992,81288
96,0.0,3,37384,65440,67736
96,0.0,4,40920,62088,64384
96,0.0,5,41224,62480,64776
97,0.0,1,37496,72560,74880
97,0.0,2,36808,60816,63136
97,0.0,3,41192,64168,66488
97,0.0,4,64480,80400,82720
97,0.0,5,37432,54848,57168
98,0.0,1,36872,64744,67088
98,0.0,2,39944,70400,72744
98,0.0,3,30472,63960,66304
98,0.0,4,42344,62928,65272
98,0.0,5,34888,63792,66136
99,0.0,1,43928,78496,80864
99,0.0,2,40848,61752,64120
99,0.0,3,28160,58304,60672
99,0.0,4,43136,78992,81360
99,0.0,5,45232,75208,77576
100,0.0,1,39360,63680,66072
100,0.0,2,29704,61552,63944
100,0.0,3,41224,71496,73888
100,0.0,4,42752,76512,78904
100,0.0,5,37376,70752,73144
1,0.1,1,1992,16,16
1,0.1,2,1992,16,16
1,0.1,3,1992,16,16
1,0.1,4,1992,16,16
1,0.1,5,1992,16,16
2,0.1,1,2224,664,688
2,0.1,2,2080,496,520
2,0.1,3,2056,280,304
2,0.1,4,2056,1952,1992
2,0.1,5,3672,2312,2320
3,0.1,1,2640,1360,1408
3,0.1,2,2120,568,616
3,0.1,3,2360,1960,1992
3,0.1,4,2488,1184,1232
3,0.1,5,2328,2392,2424
4,0.1,1,3400,4216,4304
4,0.1,2,2776,2968,3040
4,0.1,3,2184,4216,4288
4,0.1,4,2760,3824,3912
4,0.1,5,2648,2840,2912
5,0.1,1,2624,2448,2544
5,0.1,2,2456,3200,3312
5,0.1,3,4208,4304,4384
5,0.1,4,3360,4960,5072
5,0.1,5,2624,2344,2456
6,0.1,1,3256,5400,5520
6,0.1,2,3976,7920,8040
6,0.1,3,4184,4416,4536
6,0.1,4,2664,3256,3376
6,0.1,5,2552,4784,4888
7,0.1,1,3344,4208,4352
7,0.1,2,7896,7264,7392
7,0.1,3,3376,6176,6320
7,0.1,4,4384,5936,6080
7,0.1,5,4000,5448,5592
8,0.1,1,2488,4840,5008
8,0.1,2,2816,3888,4072
8,0.1,3,5008,5472,5624
8,0.1,4,5576,5984,6168
8,0.1,5,4920,7240,7408
9,0.1,1,6408,6128,6320
9,0.1,2,3768,3960,4152
9,0.1,3,6736,6992,7200
9,0.1,4,6072,6808,7016
9,0.1,5,6016,10648,10856
10,0.1,1,4688,5216,5448
10,0.1,2,5160,8776,9008
10,0.1,3,5952,6968,7200
10,0.1,4,5008,9592,9824
10,0.1,5,8840,9728,9960
11,0.1,1,5128,11048,11304
11,0.1,2,8168,10360,10600
11,0.1,3,5944,8672,8912
11,0.1,4,4688,7712,7952
11,0.1,5,2824,7192,7432
12,0.1,1,5400,6528,6808
12,0.1,2,9848,9280,9544
12,0.1,3,5248,7408,7656
12,0.1,4,7456,12256,12520
12,0.1,5,5648,8232,8512
13,0.1,1,4704,8976,9264
13,0.1,2,6040,8952,9240
13,0.1,3,6576,9976,10264
13,0.1,4,4192,5920,6192
13,0.1,5,7920,9496,9800
14,0.1,1,9160,12584,12912
14,0.1,2,4544,6792,7120
14,0.1,3,4392,8192,8504
14,0.1,4,4632,8360,8688
14,0.1,5,7672,9880,10192
15,0.1,1,5224,10328,10648
15,0.1,2,7416,8448,8784
15,0.1,3,5632,9032,9368
15,0.1,4,4504,7000,7336
15,0.1,5,6968,10424,10776
16,0.1,1,5888,8624,9000
16,0.1,2,5376,8112,8488
16,0.1,3,9520,12696,13072
16,0.1,4,4864,10632,11008
