N,P,X,Filesize,Cachesize
64,0.0,1,24576,19720
64,0.0,2,20480,15520
64,0.0,3,24576,18464
64,0.0,4,24576,23648
64,0.0,5,24576,21024
65,0.0,1,28672,28528
65,0.0,2,28672,20512
65,0.0,3,24576,17176
65,0.0,4,24576,18472
65,0.0,5,24576,21536
66,0.0,1,24576,19504
66,0.0,2,24576,20656
66,0.0,3,24576,20680
66,0.0,4,28672,22336
66,0.0,5,28672,29152
67,0.0,1,28672,21144
67,0.0,2,28672,27800
67,0.0,3,28672,22976
67,0.0,4,24576,18928
67,0.0,5,28672,26768
68,0.0,1,24576,19464
68,0.0,2,24576,22032
68,0.0,3,24576,22624
68,0.0,4,28672,26728
68,0.0,5,28672,21512
69,0.0,1,24576,21368
69,0.0,2,24576,17368
69,0.0,3,28672,26800
69,0.0,4,28672,26400
69,0.0,5,24576,16552
70,0.0,1,24576,20704
70,0.0,2,24576,21792
70,0.0,3,24576,19072
70,0.0,4,24576,22304
70,0.0,5,24576,20344
71,0.0,1,28672,26088
71,0.0,2,24576,17000
71,0.0,3,28672,24120
71,0.0,4,28672,26120
71,0.0,5,28672,23224
72,0.0,1,24576,20688
72,0.0,2,24576,19416
72,0.0,3,24576,20560
72,0.0,4,28672,25008
72,0.0,5,24576,19992
73,0.0,1,28672,20016
73,0.0,2,28672,23136
73,0.0,3,24576,20328
73,0.0,4,28672,22416
73,0.0,5,28672,27152
74,0.0,1,28672,19912
74,0.0,2,28672,20432
74,0.0,3,24576,24672
74,0.0,4,28672,31384
74,0.0,5,28672,18968
75,0.0,1,24576,25592
75,0.0,2,24576,24632
75,0.0,3,24576,22360
75,0.0,4,32768,33648
75,0.0,5,28672,25408
76,0.0,1,24576,19576
76,0.0,2,24576,16856
76,0.0,3,28672,24952
76,0.0,4,24576,27704
76,0.0,5,28672,20760
77,0.0,1,24576,20584
77,0.0,2,32768,23912
77,0.0,3,28672,23328
77,0.0,4,28672,29256
77,0.0,5,28672,18968
78,0.0,1,24576,21064
78,0.0,2,32768,30488
78,0.0,3,28672,25424
78,0.0,4,28672,20976
78,0.0,5,28672,26352
79,0.0,1,32768,23536
79,0.0,2,28672,20704
79,0.0,3,28672,23496
79,0.0,4,28672,20552
79,0.0,5,28672,21480
80,0.0,1,28672,25928
80,0.0,2,28672,25568
80,0.0,3,32768,25520
80,0.0,4,28672,29032
80,0.0,5,28672,20688
81,0.0,1,32768,26024
81,0.0,2,28672,31936
81,0.0,3,28672,24768
81,0.0,4,28672,23368
81,0.0,5,28672,22552
82,0.0,1,32768,26968
82,0.0,2,28672,25784
82,0.0,3,24576,20016
82,0.0,4,28672,21080
82,0.0,5,24576,21664
83,0.0,1,28672,23144
83,0.0,2,28672,28472
83,0.0,3,32768,28016
83,0.0,4,28672,25440
83,0.0,5,24576,21032
84,0.0,1,28672,26192
84,0.0,2,28672,20080
84,0.0,3,32768,25304
84,0.0,4,28672,21696
84,0.0,5,32768,25568
85,0.0,1,32768,28984
85,0.0,2,24576,24136
85,0.0,3,28672,26568
85,0.0,4,28672,29712
85,0.0,5,24576,20856
86,0.0,1,28672,27336
86,0.0,2,28672,24328
86,0.0,3,28672,25336
86,0.0,4,28672,29760
86,0.0,5,28672,24032
87,0.0,1,28672,25424
87,0.0,2,28672,26800
87,0.0,3,28672,22912
87,0.0,4,28672,28576
87,0.0,5,28672,23256
88,0.0,1,32768,28584
88,0.0,2,28672,21568
88,0.0,3,36864,32464
88,0.0,4,28672,21920
88,0.0,5,28672,21112
89,0.0,1,28672,19488
89,0.0,2,28672,23504
89,0.0,3,32768,25672
89,0.0,4,32768,31056
89,0.0,5,28672,24824
90,0.0,1,28672,24192
90,0.0,2,28672,21536
90,0.0,3,28672,22176
90,0.0,4,28672,21512
90,0.0,5,28672,20728
91,0.0,1,32768,28096
91,0.0,2,32768,26808
91,0.0,3,28672,24368
91,0.0,4,28672,25864
91,0.0,5,32768,30568
92,0.0,1,28672,22104
92,0.0,2,28672,25656
92,0.0,3,28672,20960
92,0.0,4,32768,30112
92,0.0,5,32768,23136
93,0.0,1,28672,26464
93,0.0,2,32768,30064
93,0.0,3,32768,22136
93,0.0,4,32768,25000
93,0.0,5,28672,23096
94,0.0,1,32768,24560
94,0.0,2,28672,20160
94,0.0,3,32768,23712
94,0.0,4,36864,35280
94,0.0,5,32768,26024
95,0.0,1,28672,27296
95,0.0,2,28672,27192
95,0.0,3,32768,27144
95,0.0,4,36864,29432
95,0.0,5,28672,27272
96,0.0,1,32768,31480
