N,P,X,History
75,0.0,1,73304
75,0.0,2,69424
75,0.0,3,60736
75,0.0,4,86608
75,0.0,5,81640
76,0.0,1,57888
76,0.0,2,60008
76,0.0,3,67488
76,0.0,4,69616
76,0.0,5,65072
77,0.0,1,61440
77,0.0,2,74520
77,0.0,3,68280
77,0.0,4,82888
77,0.0,5,65848
78,0.0,1,68768
78,0.0,2,79544
78,0.0,3,69656
78,0.0,4,68056
78,0.0,5,79480
79,0.0,1,69632
79,0.0,2,71824
79,0.0,3,72824
79,0.0,4,57976
79,0.0,5,72424
80,0.0,1,79520
80,0.0,2,68528
80,0.0,3,65784
80,0.0,4,86080
80,0.0,5,68976
81,0.0,1,78328
81,0.0,2,79728
81,0.0,3,71880
81,0.0,4,73488
81,0.0,5,71552
82,0.0,1,78760
82,0.0,2,75816
82,0.0,3,70872
82,0.0,4,75416
82,0.0,5,72448
83,0.0,1,69952
83,0.0,2,84280
83,0.0,3,86216
83,0.0,4,76432
83,0.0,5,69616
84,0.0,1,72912
84,0.0,2,69912
84,0.0,3,84488
84,0.0,4,74072
84,0.0,5,80800
85,0.0,1,85288
85,0.0,2,77304
85,0.0,3,90344
85,0.0,4,85360
85,0.0,5,66160
86,0.0,1,86608
86,0.0,2,76624
86,0.0,3,77192
86,0.0,4,85424
86,0.0,5,78608
87,0.0,1,76128
87,0.0,2,82952
87,0.0,3,74488
87,0.0,4,95184
87,0.0,5,75320
88,0.0,1,88984
88,0.0,2,70272
88,0.0,3,100544
88,0.0,4,73808
88,0.0,5,70664
89,0.0,1,69400
89,0.0,2,80416
89,0.0,3,84784
89,0.0,4,90224
89,0.0,5,75200
90,0.0,1,90840
90,0.0,2,83720
90,0.0,3,79672
90,0.0,4,78976
90,0.0,5,79408
91,0.0,1,96224
91,0.0,2,86744
91,0.0,3,84000
91,0.0,4,83160
91,0.0,5,94160
92,0.0,1,74464
92,0.0,2,73344
92,0.0,3,82576
92,0.0,4,81400
92,0.0,5,85264
93,0.0,1,86400
93,0.0,2,91144
93,0.0,3,86488
93,0.0,4,88384
93,0.0,5,81344
94,0.0,1,87616
94,0.0,2,83608
94,0.0,3,96136
94,0.0,4,94560
94,0.0,5,80904
95,0.0,1,81864
95,0.0,2,80824
95,0.0,3,84320
95,0.0,4,98752
95,0.0,5,83112
96,0.0,1,96872
96,0.0,2,100416
96,0.0,3,87984
96,0.0,4,85928
96,0.0,5,86728
97,0.0,1,94208
97,0.0,2,79344
97,0.0,3,90232
97,0.0,4,115720
97,0.0,5,77600
98,0.0,1,89024
98,0.0,2,96032
98,0.0,3,79848
98,0.0,4,87376
98,0.0,5,84288
99,0.0,1,105112
99,0.0,2,87744
99,0.0,3,73720
99,0.0,4,100552
99,0.0,5,99904
100,0.0,1,85520
100,0.0,2,77424
100,0.0,3,96408
100,0.0,4,102504
100,0.0,5,91992
1,0.1,1,2040
1,0.1,2,2040
1,0.1,3,2040
1,0.1,4,2040
1,0.1,5,2040
2,0.1,1,2672
2,0.1,2,2576
2,0.1,3,2352
2,0.1,4,3912
2,0.1,5,4528
3,0.1,1,3656
3,0.1,2,2648
3,0.1,3,3984
3,0.1,4,3432
3,0.1,5,4360
4,0.1,1,6808
4,0.1,2,5216
4,0.1,3,6160
4,0.1,4,6120
4,0.1,5,5032
5,0.1,1,4640
5,0.1,2,5216
5,0.1,3,7456
5,0.1,4,7320
5,0.1,5,4656
6,0.1,1,7808
6,0.1,2,10704
6,0.1,3,7416
6,0.1,4,5368
6,0.1,5,6808
7,0.1,1,6544
7,0.1,2,11064
7,0.1,3,8552
7,0.1,4,9072
7,0.1,5,8408
8,0.1,1,6832
8,0.1,2,6152
8,0.1,3,8096
8,0.1,4,8832
8,0.1,5,9688
9,0.1,1,9440
9,0.1,2,6576
9,0.1,3,10696
9,0.1,4,9816
9,0.1,5,13496
10,0.1,1,8560
10,0.1,2,12408
10,0.1,3,9536
10,0.1,4,13144
10,0.1,5,13408
11,0.1,1,13784
11,0.1,2,13704
11,0.1,3,11696
11,0.1,4,10672
11,0.1,5,9216
12,0.1,1,10216
12,0.1,2,13664
12,0.1,3,11056
12,0.1,4,16056
12,0.1,5,11800
13,0.1,1,11792
13,0.1,2,12472
13,0.1,3,13584
13,0.1,4,8800
13,0.1,5,13624
14,0.1,1,16864
14,0.1,2,9600
14,0.1,3,10992
14,0.1,4,11584
14,0.1,5,14136
15,0.1,1,13872
15,0.1,2,12008
15,0.1,3,12800
15,0.1,4,9720
15,0.1,5,15240
16,0.1,1,11680
16,0.1,2,11816
16,0.1,3,17016
16,0.1,4,13632
16,0.1,5,14408
17,0.1,1,12568
17,0.1,2,17016
17,0.1,3,18344
17,0.1,4,14048
17,0.1,5,18088
18,0.1,1,19672
18,0.1,2,19912
18,0.1,3,15008
18,0.1,4,17816
18,0.1,5,22568
19,0.1,1,23864
19,0.1,2,21608
19,0.1,3,21864
19,0.1,4,20984
19,0.1,5,17728
20,0.1,1,18552
20,0.1,2,22296
20,0.1,3,17392
20,0.1,4,21176
20,0.1,5,20792
21,0.1,1,18632
21,0.1,2,18376
21,0.1,3,19736
21,0.1,4,21512
21,0.1,5,19440
22,0.1,1,15288
22,0.1,2,25208
22,0.1,3,21176
22,0.1,4,23952
22,0.1,5,21728
23,0.1,1,16016
23,0.1,2,19440
23,0.1,3,21536
23,0.1,4,18088
23,0.1,5,26392
24,0.1,1,23624
24,0.1,2,19760
24,0.1,3,26824
24,0.1,4,16496
24,0.1,5,18048
25,0.1,1,20016
25,0.1,2,24024
25,0.1,3,25976
25,0.1,4,23176
25,0.1,5,25944
26,0.1,1,27648
26,0.1,2,21768
26,0.1,3,21688
26,0.1,4,19800
26,0.1,5,20832
27,0.1,1,26792
27,0.1,2,21160
27,0.1,3,26304
27,0.1,4,29560
27,0.1,5,30800
28,0.1,1,24496
28,0.1,2,19568
28,0.1,3,25264
28,0.1,4,25048
28,0.1,5,20912
29,0.1,1,25640
29,0.1,2,23936
29,0.1,3,26080
29,0.1,4,22232
29,0.1,5,26016
30,0.1,1,24016
30,0.1,2,25544
30,0.1,3,20392
30,0.1,4,26872
30,0.1,5,27016
31,0.1,1,26560
31,0.1,2,23760
31,0.1,3,26656
31,0.1,4,24984
31,0.1,5,21648
32,0.1,1,33896
32,0.1,2,29760
32,0.1,3,35152
32,0.1,4,28880
32,0.1,5,29888
33,0.1,1,28176
33,0.1,2,22192
33,0.1,3,31464
33,0.1,4,30200
33,0.1,5,23984
34,0.1,1,35984
34,0.1,2,38208
34,0.1,3,35936
34,0.1,4,25600
34,0.1,5,31792
35,0.1,1,39984
35,0.1,2,26848
35,0.1,3,39128
35,0.1,4,38096
35,0.1,5,29144
36,0.1,1,37072
36,0.1,2,38608
36,0.1,3,31224
36,0.1,4,37528
36,0.1,5,28784
37,0.1,1,38072
37,0.1,2,29000
37,0.1,3,30536
37,0.1,4,41232
37,0.1,5,25096
38,0.1,1,31704
38,0.1,2,32352
38,0.1,3,35952
38,0.1,4,37240
38,0.1,5,41192
39,0.1,1,33392
39,0.1,2,37944
39,0.1,3,33232
39,0.1,4,34352
39,0.1,5,31304
40,0.1,1,39528
40,0.1,2,41752
40,0.1,3,38736
40,0.1,4,34296
40,0.1,5,46400
41,0.1,1,34416
41,0.1,2,38312
41,0.1,3,32344
41,0.1,4,51856
41,0.1,5,35264
42,0.1,1,27840
42,0.1,2,37128
42,0.1,3,38984
42,0.1,4,38320
42,0.1,5,34456
43,0.1,1,39184
43,0.1,2,36192
43,0.1,3,35048
43,0.1,4,31320
43,0.1,5,35592
44,0.1,1,39272
44,0.1,2,42976
44,0.1,3,47728
44,0.1,4,32208
44,0.1,5,49256
45,0.1,1,32896
45,0.1,2,52448
45,0.1,3,39512
45,0.1,4,38960
45,0.1,5,35744
46,0.1,1,39560
46,0.1,2,39464
46,0.1,3,34448
46,0.1,4,46464
46,0.1,5,45056
47,0.1,1,54080
47,0.1,2,48208
47,0.1,3,44200
47,0.1,4,45792
47,0.1,5,41872
48,0.1,1,40520
48,0.1,2,38448
48,0.1,3,45376
48,0.1,4,36536
48,0.1,5,39688
49,0.1,1,35872
49,0.1,2,42400
49,0.1,3,39064
49,0.1,4,41744
49,0.1,5,50864
50,0.1,1,44312
50,0.1,2,45120
50,0.1,3,54376
50,0.1,4,41768
50,0.1,5,47680
51,0.1,1,46448
51,0.1,2,40088
51,0.1,3,47088
51,0.1,4,44184
51,0.1,5,51320
52,0.1,1,39440
52,0.1,2,46224
52,0.1,3,47904
52,0.1,4,48720
52,0.1,5,52320
53,0.1,1,57472
53,0.1,2,46680
53,0.1,3,45976
53,0.1,4,47960
53,0.1,5,44840
54,0.1,1,60928
54,0.1,2,42976
54,0.1,3,47032
54,0.1,4,58392
54,0.1,5,55272
55,0.1,1,41368
55,0.1,2,59680
55,0.1,3,58600
55,0.1,4,47176
55,0.1,5,49352
56,0.1,1,43312
56,0.1,2,54752
56,0.1,3,62976
56,0.1,4,45464
56,0.1,5,46320
57,0.1,1,45656
57,0.1,2,51104
57,0.1,3,47376
57,0.1,4,56832
57,0.1,5,51488
58,0.1,1,44904
58,0.1,2,41792
58,0.1,3,62208
58,0.1,4,58320
58,0.1,5,45952
59,0.1,1,57440
59,0.1,2,49008
59,0.1,3,54120
59,0.1,4,48496
59,0.1,5,45528
60,0.1,1,41920
60,0.1,2,51808
60,0.1,3,64528
60,0.1,4,48976
60,0.1,5,60640
61,0.1,1,51040
61,0.1,2,51192
61,0.1,3,49872
61,0.1,4,46112
61,0.1,5,52608
62,0.1,1,59624
62,0.1,2,62776
62,0.1,3,65640
62,0.1,4,60864
62,0.1,5,59920
63,0.1,1,53640
63,0.1,2,53344
63,0.1,3,63008
63,0.1,4,59384
63,0.1,5,56008
64,0.1,1,67096
64,0.1,2,54840
64,0.1,3,51976
64,0.1,4,54864
64,0.1,5,55976
65,0.1,1,62040
65,0.1,2,51112
65,0.1,3,67304
65,0.1,4,58728
65,0.1,5,55200
66,0.1,1,65936
66,0.1,2,65360
66,0.1,3,60112
66,0.1,4,57064
66,0.1,5,57720
67,0.1,1,65032
67,0.1,2,58344
67,0.1,3,57488
67,0.1,4,65224
67,0.1,5,59256
68,0.1,1,55208
68,0.1,2,73840
68,0.1,3,68640
68,0.1,4,57976
68,0.1,5,62544
69,0.1,1,58600
69,0.1,2,68248
69,0.1,3,71432
69,0.1,4,61936
69,0.1,5,61784
70,0.1,1,54792
70,0.1,2,58320
70,0.1,3,59624
70,0.1,4,57456
70,0.1,5,61424
71,0.1,1,65200
71,0.1,2,62600
71,0.1,3,64848
71,0.1,4,60192
71,0.1,5,60968
72,0.1,1,59376
72,0.1,2,58144
72,0.1,3,61792
72,0.1,4,54032
72,0.1,5,56720
73,0.1,1,63520
73,0.1,2,63264
73,0.1,3,72488
73,0.1,4,63208
73,0.1,5,71400
74,0.1,1,73464
74,0.1,2,73608
74,0.1,3,70648
74,0.1,4,81848
74,0.1,5,62616
75,0.1,1,71584
75,0.1,2,69856
75,0.1,3,71376
75,0.1,4,71872
75,0.1,5,73376
76,0.1,1,70608
76,0.1,2,79952
76,0.1,3,69344
76,0.1,4,68592
76,0.1,5,72360
77,0.1,1,92096
77,0.1,2,70312
77,0.1,3,87320
77,0.1,4,76504
77,0.1,5,78104
78,0.1,1,86952
78,0.1,2,63168
78,0.1,3,51000
78,0.1,4,58024
78,0.1,5,69656
79,0.1,1,74360
79,0.1,2,77136
79,0.1,3,69720
79,0.1,4,70080
79,0.1,5,65592
80,0.1,1,74320
80,0.1,2,81336
80,0.1,3,65248
80,0.1,4,53776
80,0.1,5,70768
81,0.1,1,79248
81,0.1,2,71016
81,0.1,3,70144
81,0.1,4,82072
81,0.1,5,73592
82,0.1,1,76976
82,0.1,2,73440
82,0.1,3,66104
82,0.1,4,74800
82,0.1,5,69224
83,0.1,1,79016
83,0.1,2,67976
83,0.1,3,75592
83,0.1,4,85688
83,0.1,5,75240
84,0.1,1,70864
84,0.1,2,72448
84,0.1,3,75408
84,0.1,4,75104
84,0.1,5,73816
85,0.1,1,71168
85,0.1,2,75048
85,0.1,3,65480
85,0.1,4,81168
85,0.1,5,81616
86,0.1,1,92560
