N,P,X,Filesize
24,0.1,4,20480
24,0.1,5,12288
25,0.1,1,20480
25,0.1,2,20480
25,0.1,3,20480
25,0.1,4,20480
25,0.1,5,12288
26,0.1,1,20480
26,0.1,2,20480
26,0.1,3,20480
26,0.1,4,20480
26,0.1,5,20480
27,0.1,1,20480
27,0.1,2,20480
27,0.1,3,20480
27,0.1,4,20480
27,0.1,5,20480
28,0.1,1,20480
28,0.1,2,20480
28,0.1,3,20480
28,0.1,4,20480
28,0.1,5,20480
29,0.1,1,20480
29,0.1,2,20480
29,0.1,3,20480
29,0.1,4,20480
29,0.1,5,20480
30,0.1,1,20480
30,0.1,2,20480
30,0.1,3,20480
30,0.1,4,20480
30,0.1,5,20480
31,0.1,1,20480
31,0.1,2,20480
31,0.1,3,20480
31,0.1,4,20480
31,0.1,5,20480
32,0.1,1,20480
32,0.1,2,20480
32,0.1,3,20480
32,0.1,4,20480
32,0.1,5,20480
33,0.1,1,20480
33,0.1,2,20480
33,0.1,3,20480
33,0.1,4,20480
33,0.1,5,20480
34,0.1,1,20480
34,0.1,2,20480
34,0.1,3,20480
34,0.1,4,20480
34,0.1,5,20480
35,0.1,1,20480
35,0.1,2,20480
35,0.1,3,20480
35,0.1,4,20480
35,0.1,5,24576
36,0.1,1,20480
36,0.1,2,20480
36,0.1,3,20480
36,0.1,4,20480
36,0.1,5,20480
37,0.1,1,24576
37,0.1,2,24576
37,0.1,3,20480
37,0.1,4,20480
37,0.1,5,24576
38,0.1,1,20480
38,0.1,2,20480
38,0.1,3,20480
38,0.1,4,20480
38,0.1,5,20480
39,0.1,1,20480
39,0.1,2,20480
39,0.1,3,20480
39,0.1,4,20480
39,0.1,5,24576
40,0.1,1,24576
40,0.1,2,20480
40,0.1,3,20480
40,0.1,4,20480
40,0.1,5,20480
41,0.1,1,20480
41,0.1,2,24576
41,0.1,3,24576
41,0.1,4,24576
41,0.1,5,20480
42,0.1,1,20480
42,0.1,2,20480
42,0.1,3,24576
42,0.1,4,20480
42,0.1,5,20480
43,0.1,1,20480
43,0.1,2,24576
43,0.1,3,20480
43,0.1,4,24576
43,0.1,5,24576
44,0.1,1,20480
44,0.1,2,24576
44,0.1,3,24576
44,0.1,4,24576
44,0.1,5,24576
45,0.1,1,20480
45,0.1,2,24576
45,0.1,3,24576
45,0.1,4,24576
45,0.1,5,20480
46,0.1,1,28672
46,0.1,2,24576
46,0.1,3,24576
46,0.1,4,24576
46,0.1,5,24576
47,0.1,1,24576
47,0.1,2,24576
47,0.1,3,24576
47,0.1,4,24576
47,0.1,5,24576
48,0.1,1,24576
48,0.1,2,24576
48,0.1,3,24576
48,0.1,4,24576
48,0.1,5,24576
49,0.1,1,24576
49,0.1,2,24576
49,0.1,3,24576
49,0.1,4,24576
49,0.1,5,28672
50,0.1,1,24576
50,0.1,2,20480
50,0.1,3,24576
50,0.1,4,24576
50,0.1,5,24576
51,0.1,1,24576
51,0.1,2,24576
51,0.1,3,24576
51,0.1,4,24576
51,0.1,5,24576
52,0.1,1,24576
52,0.1,2,24576
52,0.1,3,24576
52,0.1,4,24576
52,0.1,5,24576
53,0.1,1,24576
53,0.1,2,24576
53,0.1,3,24576
53,0.1,4,24576
53,0.1,5,24576
54,0.1,1,24576
54,0.1,2,24576
54,0.1,3,28672
54,0.1,4,24576
54,0.1,5,24576
55,0.1,1,24576
55,0.1,2,24576
55,0.1,3,24576
55,0.1,4,20480
55,0.1,5,24576
56,0.1,1,28672
56,0.1,2,24576
56,0.1,3,24576
56,0.1,4,24576
56,0.1,5,24576
57,0.1,1,28672
57,0.1,2,24576
57,0.1,3,24576
57,0.1,4,24576
57,0.1,5,28672
58,0.1,1,24576
58,0.1,2,24576
58,0.1,3,24576
58,0.1,4,24576
58,0.1,5,28672
59,0.1,1,28672
59,0.1,2,24576
59,0.1,3,28672
59,0.1,4,24576
59,0.1,5,28672
60,0.1,1,24576
60,0.1,2,24576
60,0.1,3,24576
60,0.1,4,24576
60,0.1,5,28672
61,0.1,1,24576
61,0.1,2,28672
61,0.1,3,28672
61,0.1,4,28672
61,0.1,5,24576
62,0.1,1,24576
62,0.1,2,24576
62,0.1,3,28672
62,0.1,4,28672
62,0.1,5,28672
63,0.1,1,28672
63,0.1,2,28672
63,0.1,3,28672
