N,P,X,Cmap,Parents,Children
58,0.0,3,22808,36560,37968
58,0.0,4,23192,44760,46144
58,0.0,5,27576,41536,42920
59,0.0,1,20392,34464,35872
59,0.0,2,19952,43448,44856
59,0.0,3,20504,39264,40672
59,0.0,4,26232,38832,40240
59,0.0,5,26688,41808,43216
60,0.0,1,23392,41064,42496
60,0.0,2,21928,37144,38576
60,0.0,3,20544,39120,40552
60,0.0,4,25280,41192,42624
60,0.0,5,24728,36504,37936
61,0.0,1,22144,47536,48992
61,0.0,2,29376,42384,43840
61,0.0,3,19848,39520,40976
61,0.0,4,31464,47688,49144
61,0.0,5,26280,47136,48592
62,0.0,1,21792,39856,41336
62,0.0,2,20400,41336,42816
62,0.0,3,27896,43768,45248
62,0.0,4,24800,44280,45760
62,0.0,5,19096,45880,47360
63,0.0,1,22160,38272,39776
63,0.0,2,25336,41176,42704
63,0.0,3,24680,43000,44504
63,0.0,4,21200,42192,43720
63,0.0,5,18576,42360,43864
64,0.0,1,25256,48096,49624
64,0.0,2,30512,47712,49240
64,0.0,3,34280,53440,54968
64,0.0,4,27208,39264,40792
64,0.0,5,22888,42880,44408
65,0.0,1,23424,38976,40528
65,0.0,2,22264,44816,46368
65,0.0,3,23512,42816,44368
65,0.0,4,25320,45768,47320
65,0.0,5,22000,43632,45184
66,0.0,1,28560,42552,44128
66,0.0,2,24096,45456,47032
66,0.0,3,20768,48024,49600
66,0.0,4,28248,45040,46616
66,0.0,5,20920,49000,50576
67,0.0,1,27736,54864,56464
67,0.0,2,26888,43120,44720
67,0.0,3,26608,54768,56368
67,0.0,4,25760,45552,47152
67,0.0,5,28624,53456,55056
68,0.0,1,27280,44432,46056
68,0.0,2,27240,41560,43184
68,0.0,3,31600,49048,50672
68,0.0,4,18960,41936,43560
68,0.0,5,26384,45656,47280
69,0.0,1,33656,45848,47496
69,0.0,2,25928,45736,47384
69,0.0,3,36344,52936,54584
69,0.0,4,26520,51832,53480
69,0.0,5,31904,50256,51904
70,0.0,1,32728,54240,55912
70,0.0,2,25056,44384,46056
70,0.0,3,26448,42280,43952
70,0.0,4,30792,49728,51400
70,0.0,5,28200,43200,44872
71,0.0,1,24120,47296,48992
71,0.0,2,29280,50000,51696
71,0.0,3,35128,55848,57544
71,0.0,4,30256,52256,53952
71,0.0,5,27392,47496,49192
72,0.0,1,38280,55752,57472
72,0.0,2,32936,54968,56688
72,0.0,3,28944,49672,51392
72,0.0,4,26712,45256,46976
72,0.0,5,30616,52784,54504
73,0.0,1,33664,54416,56160
73,0.0,2,38472,50432,52176
73,0.0,3,25168,46592,48336
73,0.0,4,21760,40712,42456
73,0.0,5,29936,48176,49920
74,0.0,1,32552,59448,61216
74,0.0,2,36856,48520,50288
74,0.0,3,29904,52496,54264
74,0.0,4,35720,49632,51400
74,0.0,5,34152,61088,62856
75,0.0,1,25424,51592,53384
75,0.0,2,34776,57640,59432
75,0.0,3,37544,57584,59376
75,0.0,4,32136,61032,62824
75,0.0,5,38472,62648,64440
76,0.0,1,28208,46512,48328
76,0.0,2,28960,51136,52952
76,0.0,3,36360,57320,59136
76,0.0,4,27600,50640,52456
76,0.0,5,44496,63736,65552
77,0.0,1,30672,52760,54600
77,0.0,2,31456,53016,54856
77,0.0,3,34240,59136,60976
77,0.0,4,30504,59096,60936
77,0.0,5,33528,53240,55080
78,0.0,1,23992,50320,52184
78,0.0,2,32872,51056,52920
78,0.0,3,21032,47992,49856
78,0.0,4,33888,61688,63552
78,0.0,5,36904,58792,60656
79,0.0,1,35960,64024,65912
79,0.0,2,32056,52032,53920
79,0.0,3,31752,48648,50536
79,0.0,4,30240,49768,51656
79,0.0,5,26712,50944,52832
80,0.0,1,29944,46872,48784
80,0.0,2,22776,41360,43272
80,0.0,3,35984,57056,58968
80,0.0,4,22656,42792,44704
80,0.0,5,26856,52128,54040
81,0.0,1,29832,58336,60272
81,0.0,2,34352,63360,65296
81,0.0,3,30080,51912,53848
81,0.0,4,31304,58296,60232
81,0.0,5,31576,55096,57032
82,0.0,1,35576,61464,63424
82,0.0,2,34632,58136,60096
82,0.0,3,33800,61208,63168
82,0.0,4,34640,60160,62120
82,0.0,5,33592,54008,55968
83,0.0,1,29440,54024,56008
83,0.0,2,30616,51408,53392
83,0.0,3,33160,59968,61952
83,0.0,4,36824,51312,53296
83,0.0,5,36824,61472,63456
84,0.0,1,37448,59424,61456
84,0.0,2,33144,57928,59936
84,0.0,3,37800,59640,61648
84,0.0,4,31888,58600,60608
84,0.0,5,30104,53656,55664
85,0.0,1,30112,57688,59720
85,0.0,2,34448,58024,60056
85,0.0,3,30240,52792,54824
85,0.0,4,39656,57528,59560
85,0.0,5,33088,56600,58632
86,0.0,1,41000,66720,68776
86,0.0,2,34024,57320,59376
86,0.0,3,34608,54312,56368
86,0.0,4,29496,57048,59128
86,0.0,5,38304,57864,59920
87,0.0,1,37504,52928,55008
87,0.0,2,34200,53960,56040
87,0.0,3,36080,61824,63904
87,0.0,4,31240,56672,58752
87,0.0,5,30968,59992,62072
88,0.0,1,39240,63832,65936
88,0.0,2,28600,58440,60544
88,0.0,3,29904,61368,63472
88,0.0,4,41632,59448,61552
88,0.0,5,25336,53328,55432
89,0.0,1,30912,55176,57304
89,0.0,2,31984,67256,69384
89,0.0,3,31688,58456,60608
89,0.0,4,31760,60976,63104
89,0.0,5,38976,68928,71056
90,0.0,1,33072,67344,69496
90,0.0,2,41752,61400,63552
90,0.0,3,39104,69064,71216
90,0.0,4,38352,64112,66264
90,0.0,5,42664,68992,71144
91,0.0,1,34656,57000,59176
91,0.0,2,35600,59712,61888
91,0.0,3,29256,52632,54808
91,0.0,4,28272,59272,61448
91,0.0,5,36632,70656,72832
92,0.0,1,44864,70168,72368
92,0.0,2,30968,57472,59672
92,0.0,3,38800,66256,68456
92,0.0,4,27712,54104,56304
92,0.0,5,36736,59104,61304
93,0.0,1,44696,71216,73440
93,0.0,2,45784,78392,80640
93,0.0,3,39480,58528,60752
93,0.0,4,40136,60416,62640
93,0.0,5,38240,62840,65064
94,0.0,1,43280,66984,69232
94,0.0,2,37080,58432,60704
94,0.0,3,28600,59960,62208
94,0.0,4,46184,74216,76464
94,0.0,5,37952,67032,69280
95,0.0,1,40576,62720,64992
95,0.0,2,48392,71184,73456
95,0.0,3,36208,71544,73816
95,0.0,4,35192,63984,66256
95,0.0,5,35824,63240,65512
96,0.0,1,45416,69216,71512
96,0.0,2,43184,68080,70376
96,0.0,3,37048,59504,61800
96,0.0,4,37816,61320,63616
96,0.0,5,47768,66880,69176
97,0.0,1,38128,67736,70056
97,0.0,2,42504,73192,75512
97,0.0,3,37736,67448,69768
97,0.0,4,42736,75328,77648
97,0.0,5,50968,68904,71224
98,0.0,1,45928,68464,70808
98,0.0,2,34104,67728,70072
98,0.0,3,38128,63536,65880
98,0.0,4,36456,67912,70256
98,0.0,5,39800,77344,79688
99,0.0,1,37496,67848,70216
99,0.0,2,41432,63656,66024
99,0.0,3,34072,68192,70560
99,0.0,4,48904,72616,74984
99,0.0,5,48656,72208,74576
100,0.0,1,40216,69040,71432
100,0.0,2,49712,69936,72328
100,0.0,3,47312,64872,67264
100,0.0,4,42464,67568,69960
100,0.0,5,46096,78312,80704
1,0.1,1,2184,16,16
1,0.1,2,2184,16,16
1,0.1,3,2184,16,16
1,0.1,4,2184,16,16
1,0.1,5,2184,16,16
2,0.1,1,2456,976,1000
2,0.1,2,4176,2408,2432
2,0.1,3,4224,2416,2456
2,0.1,4,2600,728,752
2,0.1,5,2272,456,480
3,0.1,1,2928,2568,2616
3,0.1,2,3424,2184,2232
3,0.1,3,3120,1520,1568
3,0.1,4,2336,680,728
3,0.1,5,3496,2616,2664
4,0.1,1,2584,3320,3392
4,0.1,2,3016,2592,2664
4,0.1,3,3792,3376,3464
4,0.1,4,2776,3848,3936
4,0.1,5,4072,3784,3872
5,0.1,1,2488,2360,2456
5,0.1,2,5160,5104,5200
5,0.1,3,3312,3440,3552
5,0.1,4,2832,1944,2040
5,0.1,5,3600,2608,2704
6,0.1,1,6288,8168,8312
6,0.1,2,3640,4680,4816
6,0.1,3,3912,4752,4856
6,0.1,4,3080,3384,3520
6,0.1,5,3472,2600,2720
7,0.1,1,3928,3376,3520
7,0.1,2,2616,3280,3440
7,0.1,3,3600,4024,4184
7,0.1,4,4544,6008,6152
7,0.1,5,4040,4160,4304
8,0.1,1,2832,3768,3936
8,0.1,2,6216,6672,6856
8,0.1,3,4256,8768,8952
8,0.1,4,5072,6416,6584
8,0.1,5,3368,5200,5384
9,0.1,1,5568,8328,8536
9,0.1,2,3672,4480,4672
9,0.1,3,4752,8408,8616
9,0.1,4,6824,10888,11096
9,0.1,5,4056,4712,4904
10,0.1,1,6808,8096,8328
10,0.1,2,5120,8304,8520
10,0.1,3,4080,6528,6760
10,0.1,4,4408,4816,5048
10,0.1,5,4832,6560,6792
11,0.1,1,4992,7480,7736
11,0.1,2,3608,6696,6952
11,0.1,3,5328,6384,6640
11,0.1,4,6280,8792,9072
11,0.1,5,4744,6616,6872
12,0.1,1,4368,6536,6784
12,0.1,2,4152,8184,8448
12,0.1,3,8504,8960,9240
12,0.1,4,7352,11184,11464
12,0.1,5,7872,14016,14296
13,0.1,1,6232,8256,8560
13,0.1,2,5720,9160,9448
13,0.1,3,4720,10288,10592
13,0.1,4,4576,7272,7560
