N,P,Size
242,0.5,69776
243,0.5,69984
244,0.5,70320
245,0.5,70912
246,0.5,71008
247,0.5,71472
248,0.5,71440
249,0.5,71744
250,0.5,71808
251,0.5,72560
252,0.5,72352
253,0.5,72576
254,0.5,73120
255,0.5,73024
256,0.5,73728
257,0.5,73664
258,0.5,73984
259,0.5,74640
260,0.5,74752
261,0.5,74736
262,0.5,75168
263,0.5,75360
264,0.5,75632
265,0.5,75776
266,0.5,76352
267,0.5,76336
268,0.5,76592
269,0.5,77008
270,0.5,77296
271,0.5,77600
272,0.5,77728
273,0.5,78288
274,0.5,78368
275,0.5,78608
276,0.5,78640
277,0.5,79344
278,0.5,79536
279,0.5,79472
280,0.5,80080
281,0.5,79872
282,0.5,80432
283,0.5,80592
284,0.5,81296
285,0.5,81152
286,0.5,81712
287,0.5,81888
288,0.5,81872
289,0.5,82320
290,0.5,82688
291,0.5,82944
292,0.5,83280
293,0.5,83280
294,0.5,83552
295,0.5,83920
296,0.5,84080
297,0.5,84480
298,0.5,84416
299,0.5,84848
300,0.5,85200
301,0.5,85584
302,0.5,85632
303,0.5,86096
304,0.5,86240
305,0.5,86528
306,0.5,86800
307,0.5,87024
308,0.5,87376
309,0.5,87840
310,0.5,87728
311,0.5,87888
312,0.5,88432
313,0.5,88352
314,0.5,89008
315,0.5,89360
316,0.5,89184
317,0.5,89856
318,0.5,89968
319,0.5,90336
320,0.5,90432
321,0.5,90976
322,0.5,90928
323,0.5,91408
324,0.5,91536
325,0.5,91968
326,0.5,92032
327,0.5,92384
328,0.5,92448
329,0.5,92928
330,0.5,93104
331,0.5,93328
332,0.5,93840
333,0.5,94000
334,0.5,94352
335,0.5,94528
336,0.5,94416
337,0.5,94896
338,0.5,95168
339,0.5,95504
340,0.5,95680
341,0.5,96320
342,0.5,96528
343,0.5,96368
344,0.5,96960
345,0.5,96816
346,0.5,97520
347,0.5,97440
348,0.5,98096
349,0.5,98016
350,0.5,98464
351,0.5,98832
352,0.5,98672
353,0.5,99408
354,0.5,99312
355,0.5,99760
356,0.5,99904
357,0.5,100304
358,0.5,100624
359,0.5,100976
360,0.5,100960
361,0.5,101104
362,0.5,101808
363,0.5,101456
364,0.5,101888
365,0.5,102224
366,0.5,102368
367,0.5,103168
368,0.5,103120
369,0.5,103488
370,0.5,103696
371,0.5,103440
372,0.5,104192
373,0.5,104656
374,0.5,104496
375,0.5,104880
376,0.5,105024
377,0.5,105280
378,0.5,105824
379,0.5,105600
380,0.5,106272
381,0.5,106432
382,0.5,106976
383,0.5,106960
384,0.5,107344
385,0.5,107408
386,0.5,107968
387,0.5,108208
388,0.5,108336
389,0.5,108736
390,0.5,109200
391,0.5,108928
392,0.5,109280
393,0.5,109456
394,0.5,109840
395,0.5,110352
396,0.5,110672
397,0.5,110912
398,0.5,110720
399,0.5,111360
400,0.5,111392
401,0.5,111600
402,0.5,112048
403,0.5,112352
404,0.5,112576
405,0.5,112832
406,0.5,113152
407,0.5,113392
408,0.5,113744
409,0.5,113744
410,0.5,114032
411,0.5,114544
412,0.5,114512
413,0.5,115008
414,0.5,115408
415,0.5,115408
416,0.5,115984
417,0.5,115744
418,0.5,116208
419,0.5,116464
420,0.5,116672
421,0.5,117024
422,0.5,117456
423,0.5,117808
424,0.5,118016
425,0.5,118240
426,0.5,118544
427,0.5,118448
428,0.5,118896
429,0.5,119440
430,0.5,119456
431,0.5,119584
432,0.5,119760
433,0.5,120256
434,0.5,120464
435,0.5,120544
436,0.5,121312
437,0.5,121264
438,0.5,121648
439,0.5,121632
440,0.5,122160
441,0.5,122304
442,0.5,122480
443,0.5,122912
444,0.5,123248
445,0.5,123504
446,0.5,123584
447,0.5,123840
448,0.5,124176
449,0.5,124656
450,0.5,124784
451,0.5,124848
452,0.5,125168
453,0.5,125696
454,0.5,126048
455,0.5,126080
456,0.5,126192
457,0.5,126688
458,0.5,126880
459,0.5,127104
460,0.5,127216
461,0.5,127728
462,0.5,128240
463,0.5,128128
464,0.5,128592
465,0.5,128768
466,0.5,129088
467,0.5,129328
468,0.5,129520
469,0.5,129824
470,0.5,130240
471,0.5,130336
472,0.5,130336
473,0.5,130880
474,0.5,131312
475,0.5,131296
476,0.5,131760
477,0.5,131872
478,0.5,132160
479,0.5,132640
480,0.5,132800
481,0.5,133248
482,0.5,133104
483,0.5,133568
484,0.5,133776
485,0.5,134112
486,0.5,134576
487,0.5,134816
488,0.5,134784
489,0.5,134880
490,0.5,135248
491,0.5,135376
492,0.5,135872
493,0.5,136080
494,0.5,136688
495,0.5,136720
496,0.5,136576
497,0.5,137504
498,0.5,137392
499,0.5,137888
500,0.5,138016
501,0.5,137968
502,0.5,138368
503,0.5,138816
504,0.5,139152
505,0.5,139120
506,0.5,139376
507,0.5,139760
508,0.5,140096
509,0.5,140560
510,0.5,140704
511,0.5,140912
512,0.5,141168
513,0.5,141328
514,0.5,141472
515,0.5,141712
516,0.5,142384
517,0.5,142320
518,0.5,142400
519,0.5,142928
520,0.5,143120
521,0.5,143184
522,0.5,143840
523,0.5,144448
524,0.5,144240
525,0.5,144752
526,0.5,144656
527,0.5,145200
528,0.5,145392
529,0.5,145456
530,0.5,145856
531,0.5,146400
532,0.5,146416
533,0.5,146496
534,0.5,146656
535,0.5,147216
536,0.5,147280
537,0.5,147808
538,0.5,147968
539,0.5,148112
540,0.5,148608
541,0.5,148832
542,0.5,148784
543,0.5,149024
544,0.5,149280
545,0.5,149648
546,0.5,149712
547,0.5,150448
548,0.5,150624
549,0.5,150880
550,0.5,151056
551,0.5,151424
552,0.5,151648
553,0.5,151616
554,0.5,151904
555,0.5,152752
556,0.5,152704
557,0.5,152688
558,0.5,153312
559,0.5,153344
560,0.5,153824
561,0.5,154032
562,0.5,154384
563,0.5,154672
564,0.5,154960
565,0.5,155104
566,0.5,155312
567,0.5,155520
568,0.5,155968
569,0.5,155920
570,0.5,156544
571,0.5,156592
572,0.5,156816
573,0.5,157424
574,0.5,157616
575,0.5,157856
576,0.5,157968
577,0.5,158352
578,0
