N,P,Size
685,0.5,325256
686,0.5,397120
687,0.5,367728
688,0.5,377752
689,0.5,378984
690,0.5,343920
691,0.5,389976
692,0.5,386320
693,0.5,363304
694,0.5,357696
695,0.5,375904
696,0.5,375608
697,0.5,377144
698,0.5,367024
699,0.5,376048
700,0.5,372024
701,0.5,384496
702,0.5,354056
703,0.5,400312
704,0.5,411448
705,0.5,403952
706,0.5,393112
707,0.5,396696
708,0.5,393760
709,0.5,392960
710,0.5,365712
711,0.5,396544
712,0.5,364040
713,0.5,363776
714,0.5,371976
715,0.5,403432
716,0.5,357912
717,0.5,383504
718,0.5,377408
719,0.5,382304
720,0.5,396448
721,0.5,391336
722,0.5,381904
723,0.5,378032
724,0.5,375376
725,0.5,414248
726,0.5,410608
727,0.5,370000
728,0.5,381216
729,0.5,390272
730,0.5,405216
731,0.5,392928
732,0.5,368504
733,0.5,403776
734,0.5,396328
735,0.5,373152
736,0.5,408920
737,0.5,356568
738,0.5,425840
739,0.5,392792
740,0.5,407952
741,0.5,400600
742,0.5,403864
743,0.5,401392
744,0.5,402240
745,0.5,397176
746,0.5,385464
747,0.5,406448
748,0.5,397920
749,0.5,412688
750,0.5,388216
751,0.5,408392
752,0.5,428784
753,0.5,376864
754,0.5,435848
755,0.5,426920
756,0.5,395384
757,0.5,417384
758,0.5,374864
759,0.5,384352
760,0.5,400624
761,0.5,432288
762,0.5,387528
763,0.5,374232
764,0.5,411992
765,0.5,423712
766,0.5,431816
767,0.5,433336
768,0.5,406920
769,0.5,419632
770,0.5,424168
771,0.5,383016
772,0.5,399296
773,0.5,432232
774,0.5,404208
775,0.5,402600
776,0.5,437976
777,0.5,398392
778,0.5,375720
779,0.5,455864
780,0.5,420240
781,0.5,397952
782,0.5,422272
783,0.5,411280
784,0.5,416064
785,0.5,432032
786,0.5,402032
787,0.5,417056
788,0.5,407368
789,0.5,469616
790,0.5,442696
791,0.5,441384
792,0.5,433856
793,0.5,424640
794,0.5,378688
795,0.5,443520
796,0.5,425312
797,0.5,438024
798,0.5,407344
799,0.5,448000
800,0.5,393320
801,0.5,428768
802,0.5,441728
803,0.5,408584
804,0.5,391872
805,0.5,433424
806,0.5,432584
807,0.5,472360
808,0.5,452088
809,0.5,396216
810,0.5,443408
811,0.5,425824
812,0.5,472296
813,0.5,438496
814,0.5,427296
815,0.5,437496
816,0.5,430208
817,0.5,436544
818,0.5,469936
819,0.5,418576
820,0.5,428024
821,0.5,456160
822,0.5,392848
823,0.5,468288
824,0.5,457608
825,0.5,451400
826,0.5,434024
827,0.5,442848
828,0.5,457672
829,0.5,470232
830,0.5,443032
831,0.5,455448
832,0.5,423208
833,0.5,440464
834,0.5,464280
835,0.5,417448
836,0.5,465960
837,0.5,432376
838,0.5,443104
839,0.5,477800
840,0.5,434528
841,0.5,438080
842,0.5,468784
843,0.5,436912
844,0.5,434576
845,0.5,423472
846,0.5,440568
847,0.5,460192
848,0.5,447240
849,0.5,447464
850,0.5,463248
851,0.5,436400
852,0.5,468272
853,0.5,472248
854,0.5,441592
855,0.5,458080
856,0.5,465288
857,0.5,469152
858,0.5,457040
859,0.5,472704
860,0.5,441216
861,0.5,451472
862,0.5,482728
863,0.5,473624
864,0.5,494856
865,0.5,459384
866,0.5,462960
867,0.5,481256
868,0.5,452008
869,0.5,464216
870,0.5,490712
871,0.5,459376
872,0.5,459144
873,0.5,469280
874,0.5,481056
875,0.5,459560
876,0.5,475480
877,0.5,481352
878,0.5,490464
879,0.5,498288
880,0.5,483320
881,0.5,497536
882,0.5,443792
883,0.5,465976
884,0.5,453048
885,0.5,517304
886,0.5,436920
887,0.5,498696
888,0.5,472848
889,0.5,486376
